train_name,relasi,class,tier,km,occupancy_pct,revenue,daily_revenue
ARGO PARAHYANGAN,GMR-BD,EKS,SEDANG,169.0,83.2,8555528000.0,43650653.0
TAWANG JAYA PREMIUM,PSE-SMT,EKS,SEDANG,439.0,45.5,8518892000.0,23403549.0
PAPANDAYAN,GMR-GRT,EKS,SEDANG,247.0,90.0,8409943000.0,23040940.0
BANYUBIRU,SMT-SLO,LOK EKO,DEKAT,108.0,59.6,8358991000.0,11958499.0
KALIGUNG,TG-SMC,EKO,SEDANG,148.0,37.1,8335920000.0,13986443.0
BANYUBIRU,SLO-SMT,LOK EKO,DEKAT,108.0,65.1,8274437000.0,11837535.0
SANCAKA UTARA,SBI-GBN-SLO-CP,EKS,JAUH,504.0,59.8,8138918000.0,24368018.0
TEGAL BAHARI,TG-PSE,EKS,SEDANG,289.0,49.6,8076443000.0,22879442.0
CAKRABUANA,CN-GMR,EKS,SEDANG,214.0,65.5,7914252000.0,23695365.0
BUKIT SERELO,KPT-LLG,EKO,SEDANG,305.0,132.9,7799220000.0,21367726.0
BUKIT SERELO,LLG-KPT,EKO,SEDANG,305.0,133.3,7790848000.0,21344789.0
LODAYA TAMBAHAN,BD-SLO,EKO,SEDANG,447.0,95.4,7766097000.0,80896844.0
TEGAL BAHARI,TG-PSE,EKO,SEDANG,289.0,80.3,7547928000.0,44928143.0
KAMANDAKA,CP-TG-SMT,EKS,SEDANG,305.0,86.3,7474952000.0,20479321.0
KA TAMBAHAN SLO PSE,SLO-PSE,EKO,JAUH,570.0,60.5,7363567000.0,105193814.0
LODAYA TAMBAHAN,SLO-BD,EKO,SEDANG,447.0,88.6,7149737000.0,74476427.0
GUNUNGJATI,GMR-CN,EKO,SEDANG,214.0,46.4,7095295000.0,21243398.0
KALIGUNG,SMC-TG,EKS,SEDANG,148.0,63.4,7009495000.0,7293959.0
KALIGUNG,SMC-CNP,EKO,SEDANG,222.0,52.4,6930555000.0,18987822.0
IJEN EKSPRES,ML-BG-KTG,EKS,SEDANG,312.0,73.8,6639931000.0,19939733.0
KALIGUNG,SMC-BB,EKO,SEDANG,160.0,48.0,6609599000.0,18108490.0
TEGAL BAHARI,PSE-TG,EKO,SEDANG,289.0,71.8,6363238000.0,37876417.0
TEGAL BAHARI,PSE-TG,EKS,SEDANG,289.0,39.3,6359187000.0,18014694.0
PANGRANGO,SI-BOO,LOK EKS,DEKAT,57.0,63.9,6111343000.0,4276657.0
PANGRANGO,BOO-SI,LOK EKS,DEKAT,57.0,63.6,6095169000.0,4268326.0
SANCAKA UTARA,CP-SLO-GBN-SBI,EKS,JAUH,504.0,42.3,6045580000.0,18100539.0
CAKRABUANA,GMR-CN,EKS,SEDANG,214.0,50.0,6010906000.0,18050769.0
BLORA JAYA,SMC-CU,LOK EKO,DEKAT,141.0,60.4,5932379000.0,16758133.0
JOGLOSEMARKERTO,CP-YK,EKO,SEDANG,173.0,95.8,5730149000.0,15699038.0
SIANTAR EKSPRES,SIR-MDN,LOK EKO,DEKAT,129.0,105.1,5683378000.0,7785449.0
LODAYA TAMBAHAN,BD-SLO,EKS,SEDANG,447.0,84.5,5669689000.0,56696890.0
KUALA STABAS,BTA-TNK,EKO,SEDANG,216.0,156.7,5606364000.0,7679951.0
SEMBRANI TAMBAHAN,GMR-SBI,EKS,JAUH,720.0,63.1,5594959000.0,143460487.0
KA TAMBAHAN GMR YK,GMR-YK,EKO,JAUH,512.0,102.8,5536514000.0,87881175.0
KUALA STABAS,TNK-BTA,EKO,SEDANG,216.0,154.9,5534238000.0,7581148.0
ARJUNO EKSPRES,SGU-ML,LOK EKS,DEKAT,93.0,76.7,5508235000.0,18928643.0
ARGO PARAHYANGAN,BD-GMR,EKS,SEDANG,169.0,50.7,5443281000.0,30409391.0
GUNUNGJATI,CN-GMR,EKS,SEDANG,214.0,45.5,5343907000.0,16047769.0
SIANTAR EKSPRES,MDN-SIR,LOK EKO,DEKAT,129.0,98.2,5325540000.0,7295260.0
JOGLOSEMARKERTO,CP-YK,EKS,SEDANG,173.0,50.0,5283292000.0,14474773.0
SEMBRANI TAMBAHAN,SBI-GMR,EKS,JAUH,720.0,60.3,5258932000.0,138392947.0
BLORA JAYA,CU-SMC,LOK EKO,DEKAT,141.0,52.8,5118669000.0,14459517.0
IJEN EKSPRES,KTG-BG-ML,EKS,SEDANG,312.0,57.6,5024137000.0,15042326.0
MUTIARA TIMUR,KTG-SGU,EKS,SEDANG,306.0,70.2,4991333000.0,50417505.0
BRANTAS TAMBAHAN,BL-PSE,EKO,JAUH,805.0,144.6,4781706000.0,116626976.0
MUTIARA TIMUR,SGU-KTG,EKS,SEDANG,306.0,62.6,4769778000.0,47697780.0
BRANTAS TAMBAHAN,PSE-BL,EKO,JAUH,805.0,145.1,4732365000.0,118309125.0
PANDANWANGI,JR-KTG,LOK EKO,DEKAT,112.0,122.5,4711360000.0,6215515.0
ARJUNO EKSPRES,ML-SGU,LOK EKS,DEKAT,93.0,65.0,4672786000.0,16057684.0
KERTAJAYA TAMBAHAN,SBI-PSE,EKO,JAUH,719.0,132.6,4671623000.0,113942024.0
KA TAMBAHAN YK GMR,YK-GMR,EKO,JAUH,512.0,83.1,4662363000.0,74005762.0
KERTAJAYA TAMBAHAN,PSE-SBI,EKO,JAUH,718.0,141.6,4646792000.0,116169800.0
KALIGUNG,BB-SMC,EKS,SEDANG,160.0,55.9,4644380000.0,6362164.0
LODAYA TAMBAHAN,SLO-BD,EKS,SEDANG,447.0,68.3,4605681000.0,46056810.0
KAMANDAKA,SMT-KYA-CP,EKS,SEDANG,305.0,57.4,4591681000.0,12579948.0
JOGLOSEMARKERTO,YK-CP,EKO,SEDANG,173.0,79.6,4572415000.0,12527164.0
JOGLOSEMARKERTO,PWT-TG-SMT-SLO,EKS,SEDANG,352.0,49.5,4568382000.0,12516115.0
PANDANWANGI,KTG-JR,LOK EKO,DEKAT,112.0,118.0,4533696000.0,5981129.0
KERTAJAYA TAMBAHAN,SBI-PSE,EKS,JAUH,719.0,92.1,4304078000.0,104977512.0
KAMANDAKA,PWT-TG-SMT,EKS,SEDANG,244.0,40.2,4277352000.0,11718773.0
BRANTAS TAMBAHAN,PSE-BL,EKS,JAUH,805.0,109.0,4171331000.0,101739780.0
KERTAJAYA TAMBAHAN,PSE-SBI,EKS,JAUH,718.0,106.9,4147973000.0,103699325.0
KUTOJAYA UTARA,PSE-KTA,EKO,JAUH,453.0,90.6,3978771000.0,102019769.0
BRANTAS TAMBAHAN,BL-PSE,EKS,JAUH,805.0,92.1,3731347000.0,91008463.0
KUTOJAYA UTARA,KTA-PSE,EKO,JAUH,453.0,77.9,3485212000.0,87130300.0
GUNUNGJATI,GMR-CN,EKS,SEDANG,214.0,25.9,3261533000.0,9765069.0
JOGLOSEMARKERTO,YK-CP,EKS,SEDANG,173.0,29.8,3208282000.0,8789814.0
KALIGUNG,CNP-SMC,EKS,SEDANG,222.0,71.8,3040694000.0,8330668.0
PASUNDAN LEBARAN,KAC-SGU,EKO,JAUH,691.0,214.8,2981401000.0,135518227.0
CHERIBON FAKULTATIF,CN-GMR,EKO,SEDANG,214.0,72.3,2873155000.0,33024770.0
PASUNDAN LEBARAN,SGU-KAC,EKO,JAUH,691.0,199.0,2778000000.0,126272727.0
KA TAMBAHAN KAC SGU,KAC-SGU,EKO,JAUH,691.0,179.6,2695260000.0,192518571.0
CHERIBON FAKULTATIF,CN-GMR,EKS,SEDANG,214.0,60.8,2583230000.0,29692299.0
KA TAMBAHAN LPN PSE,LPN-PSE,EKO,JAUH,512.0,72.2,2576746000.0,83120839.0
PARIAMAN EKSPRES,NRS-IMA,LOK EKO,DEKAT,74.0,113.8,2573800000.0,2350502.0
SILIWANGI,SI-CPT,LOK EKO,DEKAT,67.0,110.0,2544322000.0,2325706.0
PARIAMAN EKSPRES,IMA-NRS,LOK EKO,DEKAT,74.0,113.2,2496110000.0,2345968.0
KA TAMBAHAN SGU KAC,SGU-KAC,EKO,JAUH,691.0,168.8,2451931000.0,175137929.0
SILIWANGI,CPT-SI,LOK EKO,DEKAT,67.0,105.2,2418161000.0,2210385.0
KA BIAS,CRB-SMO,LOK EKO,DEKAT,126.0,139.8,2402594000.0,8768591.0
KALIGUNG,TG-SMC,EKS,SEDANG,148.0,32.5,2242503000.0,3762589.0
KA BIAS,SMO-CRB,LOK EKO,DEKAT,126.0,128.6,2202023000.0,8036580.0
KUTOJAYA SELATAN TAMBAHAN,KAC-KTA,EKO,SEDANG,319.0,56.0,1898628000.0,48682769.0
KALIGUNG,SMC-BB,EKS,SEDANG,160.0,44.4,1848526000.0,5064455.0
KLB TAMBAHAN PSE LPN,PSE-LPN,EKO,JAUH,512.0,61.5,1785451000.0,105026529.0
KA TAMBAHAN PSE LPN,PSE-LPN,EKS,JAUH,512.0,93.0,1698445000.0,121317500.0
KEDUNG SEPUR,NBO-SMC,LOK EKO,DEKAT,60.0,116.7,1683080000.0,2380594.0
BANYUBIRU,SLO-SMT,LOK EKS,DEKAT,108.0,40.4,1677284000.0,4595299.0
KALIGUNG,SMC-CNP,EKS,SEDANG,222.0,37.7,1665397000.0,4562732.0
KEDUNG SEPUR,SMC-NBO,LOK EKO,DEKAT,60.0,114.3,1648330000.0,2331443.0
PARIAMAN EKSPRES,PD-NRS,LOK EKO,DEKAT,60.0,102.7,1525160000.0,2121224.0
PARIAMAN EKSPRES,NRS-PD,LOK EKO,DEKAT,60.0,102.3,1504575000.0,2119120.0
KUTOJAYA SELATAN TAMBAHAN,KTA-KAC,EKO,SEDANG,319.0,40.9,1477199000.0,36929975.0
MINANGKABAU EKSPRES,BIM-PLA,LOK EKO,DEKAT,25.0,31.0,1330750000.0,607926.0
KA TAMBAHAN PSE LPN,PSE-LPN,EKO,JAUH,512.0,110.2,1277914000.0,91279571.0
MINANGKABAU EKSPRES,PLA-BIM,LOK EKO,DEKAT,25.0,29.0,1247390000.0,569584.0
SANCAKA UTARA,SBI-GBN-SLO-CP,BIS,JAUH,504.0,78.7,1190980000.0,34028000.0
KA TAMBAHAN LPN PSE,LPN-PSE,EKS,JAUH,512.0,63.4,1156835000.0,82631071.0
CHERIBON FAKULTATIF,GMR-CN,EKO,SEDANG,214.0,27.3,1071397000.0,12314908.0
PARAHYANGAN LUXURY,BD-GMR,EKS,SEDANG,169.0,35.2,1043611000.0,4076605.0
SANCAKA UTARA,CP-SLO-GBN-SBI,BIS,JAUH,504.0,60.0,936848000.0,26767086.0
SEMBRANI LUXURY SLEEPER,SBI-GMR,EKS,JAUH,720.0,77.7,911550000.0,36462000.0
CHERIBON FAKULTATIF,GMR-CN,EKS,SEDANG,214.0,22.1,906052000.0,10414391.0
PARAHYANGAN LUXURY,GMR-BD,EKS,SEDANG,169.0,30.5,802280000.0,3581607.0
KUTOJAYA UTARA,PSE-KTA,EKS,JAUH,453.0,58.4,719836000.0,51416857.0
KA TAMBAHAN PSE SMC,PSE-SMC,EKO,SEDANG,437.0,125.0,686964000.0,137392800.0
SEMBRANI LUXURY SLEEPER,GMR-SBI,EKS,JAUH,720.0,55.5,642205000.0,25688200.0
BANYUBIRU,SMT-SLO,LOK EKS,DEKAT,108.0,15.4,630532000.0,1737003.0
MOTIS LEBARAN TENGAH,KPB-LPN,EKO,JAUH,517.0,124.6,511416743.0,21309031.0
KA TAMBAHAN SMC PSE,SMC-PSE,EKO,SEDANG,437.0,81.0,438888000.0,87777600.0
KUTOJAYA UTARA,KTA-PSE,EKS,JAUH,453.0,34.5,421665000.0,28111000.0
KLB PT MNK,GMR-YK,EKS,JAUH,512.0,103.5,409500000.0,204750000.0
KLB PT MNK,YK-GMR,EKS,JAUH,512.0,103.5,409500000.0,204750000.0
DATUK BELAMBANGAN,LAG-TBI,LOK EKO,DEKAT,36.0,31.3,252275000.0,345582.0
MOTIS LEBARAN TENGAH,LPN-KPB,EKO,JAUH,517.0,79.3,239864936.0,9994372.0
ARGO ANJASMORO COMPARTMENT,GMR-SBI,EKS,JAUH,720.0,82.9,219535000.0,27441875.0
KLB BTB KNIGHTS UNITED 9 12,ML-GMR,EKS,JAUH,881.0,100.0,213000000.0,213000000.0
KLB BTB KNIGHTS UNITED 9 12,GMR-ML,EKS,JAUH,881.0,100.0,213000000.0,213000000.0
DATUK BELAMBANGAN,TBI-LAG,LOK EKO,DEKAT,36.0,26.3,211210000.0,291324.0
KLB VINILON GROUP,YK-GMR,EKS,JAUH,512.0,100.0,204168000.0,204168000.0
KLB VINILON GROUP,GMR-YK,EKS,JAUH,512.0,100.0,204168000.0,204168000.0
KLB KOTA BARU PARAHYANGAN,BD-ML,EKS,JAUH,780.0,100.0,195000000.0,195000000.0
MUTIARA TIMUR,KTG-SGU,EKO,SEDANG,306.0,119.6,194282000.0,38856400.0
KLB UNIVERSITAS MUHAMMADIYAH CIREBON,CN-KTG,EKS,JAUH,816.0,100.0,186000000.0,186000000.0
KLB UNIVERSITAS MUHAMMADIYAH CIREBON,KTG-CN,EKS,JAUH,911.0,100.0,186000000.0,186000000.0
KLB ROMBONGAN IDAI,GMR-ML,EKS,JAUH,881.0,100.0,180000000.0,180000000.0
KLB KOTA BARU PARAHYANGAN,ML-PDL,EKS,JAUH,795.0,100.0,180000000.0,180000000.0
KLB ROMBONGAN IDAI,ML-GMR,EKS,JAUH,881.0,100.0,180000000.0,180000000.0
MOTIS NATARU TENGAH,PWS-KPB,EKO,JAUH,572.0,133.1,176865268.0,22108159.0
MUTIARA TIMUR,SGU-KTG,EKO,SEDANG,306.0,104.8,166955000.0,33391000.0
ARGO ANJASMORO COMPARTMENT,SBI-GMR,EKS,JAUH,720.0,65.8,161013000.0,20126625.0
MOTIS NATARU TENGAH,KPB-PWS,EKO,JAUH,572.0,130.8,158538760.0,19817345.0
MOTIS NATARU UTARA,KPB-SMT,EKO,SEDANG,444.0,76.9,156983456.0,19622932.0
MOTIS LEBARAN UTARA,KPB-SMT,EKO,SEDANG,444.0,101.8,152635506.0,19079438.0
KLB TKK BPK PENABUR,GMR-BOO,LOK EKO,DEKAT,49.0,100.0,132000000.0,26400000.0
KLB TKK BPK PENABUR,BOO-GMR,LOK EKO,DEKAT,49.0,100.0,132000000.0,26400000.0
KLB ROMBONGAN KEMENHUT,GRT-GMR,EKS,SEDANG,247.0,100.0,100500000.0,100500000.0
KLB ROMBONGAN KEMENHUT,GMR-GRT,EKS,SEDANG,247.0,100.0,85500000.0,85500000.0
MOTIS LEBARAN UTARA,SMT-KPB,EKO,SEDANG,444.0,69.6,79540496.0,9942562.0
KA TAMBAHAN SGU BD,SGU-BD,EKS,JAUH,696.0,60.0,53149000.0,53149000.0
MOTIS NATARU UTARA,SMT-KPB,EKO,SEDANG,444.0,29.8,51404321.0,6425540.0
