train_name,relasi,class,tier,km,occupancy_pct,revenue,daily_revenue
TURANGGA,BD-SGU,EKS,JAUH,696.0,95.5,46527090000.0,127471479.0
JAYABAYA,ML-SBI-PSE,EKO,JAUH,817.0,167.8,45447575000.0,124513904.0
LODAYA,SLO-BD,EKS,SEDANG,447.0,92.7,45226623000.0,61954278.0
AIRLANGGA,SBI-PSE,EKO,JAUH,719.0,226.8,44919476000.0,123067058.0
AIRLANGGA,PSE-SBI,EKO,JAUH,719.0,225.4,44822617000.0,122801690.0
SRI TANJUNG,LPN-SB-KTG,EKO,JAUH,620.0,190.8,44583863000.0,122147570.0
JAKA TINGKIR,SLO-PSE,EKO,JAUH,570.0,77.6,44294868000.0,132619365.0
PASUNDAN,SGU-KAC,EKO,JAUH,691.0,97.2,43925038000.0,120342570.0
PASUNDAN,KAC-SGU,EKO,JAUH,691.0,96.9,43749791000.0,119862441.0
SRI TANJUNG,KTG-SB-LPN,EKO,JAUH,620.0,186.8,43673879000.0,119654463.0
PURWOJAYA,GMR-KYA-CP,EKS,SEDANG,406.0,55.0,43602436000.0,77036106.0
AMBARAWA EKSPRES,SMC-SBI,EKO,SEDANG,282.0,103.5,43550238000.0,59657860.0
AMBARAWA EKSPRES,SBI-SMC,EKO,SEDANG,282.0,104.7,42880224000.0,58820609.0
ARGO LAWU,GMR-SLO,EKS,JAUH,571.0,55.4,42840938000.0,117372433.0
SENJA UTAMA SOLO,SLO-PSE,EKO,JAUH,570.0,86.4,42744178000.0,117107337.0
HARINA,BD-CKP-SBI,EKS,JAUH,731.0,70.7,42599286000.0,60943185.0
PARAHYANGAN,BD-GMR,EKS,SEDANG,169.0,56.8,42595865000.0,25629281.0
HARINA,SBI-CKP-BD,EKS,JAUH,731.0,75.6,42335028000.0,60565133.0
SERAYU,PSE-KYA-PWT,EKO,SEDANG,442.0,143.7,42325106000.0,57979597.0
JAKA TINGKIR,PSE-SLO,EKO,JAUH,570.0,89.6,42314197000.0,126689213.0
BRANTAS,BL-PSE,EKO,JAUH,805.0,117.6,42301592000.0,115894773.0
DHARMAWANGSA EKSPRES,SBI-PSE,EKO,JAUH,719.0,98.4,42181298000.0,115882687.0
ARGO DWIPANGGA,SLO-GMR,EKS,JAUH,571.0,59.9,42039082000.0,115175567.0
SERAYU,PWT-KYA-PSE,EKO,SEDANG,442.0,143.0,41959858000.0,57479258.0
FAJAR UTAMA YK,PSE-YK,EKO,JAUH,511.0,98.3,41802296000.0,114526838.0
BANGUNKARTA,JG-PSE,EKO,JAUH,751.0,108.8,41604809000.0,113985778.0
JOGLOSEMARKERTO,SLO-SMT-TG-PWT-SLO-SMT,EKO,JAUH,686.0,253.1,41508669000.0,113722381.0
ARGO MURIA,SMT-GMR,EKS,SEDANG,440.0,60.8,41458771000.0,104693866.0
MATARAM,SLO-PSE,EKO,JAUH,570.0,80.4,41249936000.0,113013523.0
LODAYA,BD-SLO,EKS,SEDANG,447.0,81.2,41195531000.0,56432234.0
JOGLOSEMARKERTO,SLO-PWT-TG-SMT-SLO,EKO,JAUH,578.0,247.2,40657826000.0,111391304.0
SENJA UTAMA YK,YK-PSE,EKO,JAUH,511.0,104.5,40352244000.0,110554093.0
BANGUNKARTA,PSE-JG,EKO,JAUH,751.0,105.6,40327841000.0,110487236.0
GAYABARU MALAM SELATAN,PSE-SGU,EKO,JAUH,820.0,123.7,40079528000.0,109806926.0
TAKSAKA LUXURY,GMR-YK,EKS,JAUH,512.0,54.6,39764438000.0,37372592.0
JAYABAYA,PSE-SBI-ML,EKS,JAUH,817.0,148.1,39493839000.0,108202299.0
FAJAR UTAMA YK,YK-PSE,EKO,JAUH,511.0,93.8,39158859000.0,107284545.0
TAWANG JAYA,SMC-PSE,EKO,SEDANG,437.0,88.2,37581803000.0,102963844.0
RANGGAJATI,JR-SGU-CN,EKO,JAUH,800.0,178.6,37369297000.0,102381636.0
BRANTAS,PSE-BL,EKO,JAUH,805.0,98.2,37293763000.0,102174693.0
RANGGAJATI,CN-SGU-JR,EKO,JAUH,800.0,173.5,36904138000.0,101107227.0
PARAHYANGAN,GMR-BD,EKS,SEDANG,169.0,56.0,36687134000.0,22060814.0
MUTIARA SELATAN,SGU-BD,EKO,JAUH,696.0,128.6,36617029000.0,100320627.0
GAYABARU MALAM SELATAN,SGU-PSE,EKO,JAUH,820.0,112.5,36512216000.0,100033468.0
WIJAYA KUSUMA,CP-SGU-KTG,EKS,JAUH,788.0,144.8,36428705000.0,99804671.0
MADIUN JAYA,PSE-MN,EKO,JAUH,667.0,73.2,36416675000.0,109031961.0
WIJAYA KUSUMA,KTG-SGU-CP,EKS,JAUH,788.0,143.1,36403001000.0,99734249.0
GAJAHWONG,LPN-PSE,EKO,JAUH,512.0,86.9,36108580000.0,98927616.0
BLAMBANGAN EKSPRES,PSE-SMT-SBI-KTG,EKO,JAUH,1030.0,212.0,36062455000.0,98801247.0
MUTIARA SELATAN,BD-SGU,EKS,JAUH,696.0,116.1,35938609000.0,98461942.0
MUTIARA SELATAN,BD-SGU,EKO,JAUH,696.0,123.3,35764773000.0,97985679.0
BLAMBANGAN EKSPRES,KTG-SBI-SMT-PSE,EKO,JAUH,1030.0,205.9,35653908000.0,97681940.0
KAHURIPAN,KAC-BL,EKO,JAUH,700.0,165.0,35484591000.0,97218058.0
KAHURIPAN,BL-KAC,EKO,JAUH,700.0,163.9,35304032000.0,96723375.0
TAKSAKA LUXURY,YK-GMR,EKS,JAUH,512.0,48.2,35243408000.0,33248498.0
BOGOWONTO,LPN-PSE,EKO,JAUH,512.0,77.6,34932867000.0,95706485.0
JAYABAYA,ML-SBI-PSE,EKS,JAUH,817.0,156.6,34357694000.0,94130668.0
KAMANDAKA,SMT-TG-PWT,EKO,SEDANG,244.0,98.2,33274258000.0,45581175.0
ARGO ANJASMORO,SBI-GMR,EKS,JAUH,720.0,57.2,32965966000.0,136788241.0
MADIUN JAYA,MN-PSE,EKO,JAUH,667.0,73.4,32694793000.0,97888602.0
MALIOBORO EKSPRES,PWT-ML,EKO,JAUH,559.0,152.3,32468122000.0,88953759.0
BENGAWAN,PSE-PWS,EKO,JAUH,567.0,121.3,31228735000.0,85558178.0
GUMARANG,PSE-SBI,BIS,JAUH,719.0,91.4,30980695000.0,158064770.0
TAWANG JAYA,PSE-SMC,EKO,SEDANG,437.0,66.2,30839361000.0,84491400.0
SENJA UTAMA YK,PSE-YK,EKO,JAUH,511.0,68.8,30506287000.0,83578868.0
ARGO ANJASMORO,GMR-SBI,EKS,JAUH,720.0,50.7,30493610000.0,125488107.0
RANGGAJATI,CN-SGU-JR,EKS,JAUH,800.0,108.9,29964326000.0,82094044.0
TAWANGJAYA PREMIUM,SMT-PSE,EKO,SEDANG,439.0,93.2,29924729000.0,81985559.0
TAWANGJAYA PREMIUM,PSE-SMT,EKO,SEDANG,439.0,99.4,29922023000.0,89586895.0
GAJAHWONG,PSE-LPN,EKO,JAUH,512.0,76.4,29753436000.0,81516263.0
SINGASARI,BL-PSE,EKS,JAUH,828.0,87.8,29735682000.0,81467622.0
BENGAWAN,PWS-PSE,EKO,JAUH,567.0,114.8,29481916000.0,80772373.0
WIJAYA KUSUMA,KTG-SGU-CP,EKO,JAUH,788.0,223.3,29356788000.0,80429556.0
KERTANEGARA,ML-PWT,EKO,JAUH,559.0,138.6,29189898000.0,79972323.0
MUTIARA SELATAN,SGU-BD,EKS,JAUH,696.0,104.9,29185047000.0,79959033.0
WIJAYA KUSUMA,CP-SGU-KTG,EKO,JAUH,788.0,213.2,29140102000.0,79835896.0
BOGOWONTO,PSE-LPN,EKO,JAUH,512.0,63.4,28823160000.0,78967562.0
GAYABARU MALAM SELATAN,PSE-SGU,EKS,JAUH,820.0,97.6,28744510000.0,78752082.0
SINGASARI,PSE-BL,EKS,JAUH,828.0,86.3,28689519000.0,78601422.0
TAWANG JAYA PREMIUM,PSE-SMT,EKO,SEDANG,439.0,89.1,28167407000.0,77382986.0
MALIOBORO EKSPRES,PWT-ML,EKS,JAUH,559.0,136.1,27720397000.0,75946293.0
RANGGAJATI,JR-SGU-CN,EKS,JAUH,800.0,104.8,27673377000.0,75817471.0
MENOREH,PSE-SMT,EKO,SEDANG,439.0,94.2,27438270000.0,82150509.0
SRIBILAH UTAMA,RAP-MDN,BIS,SEDANG,268.0,64.1,26963918000.0,24010613.0
SRIBILAH UTAMA,MDN-RAP,BIS,SEDANG,268.0,63.7,26920511000.0,23993325.0
GUMARANG,SBI-PSE,BIS,JAUH,719.0,85.1,26853481000.0,137710159.0
BANGUNKARTA,PSE-JG,EKS,JAUH,751.0,90.8,26606475000.0,72894452.0
GAYABARU MALAM SELATAN,SGU-PSE,EKS,JAUH,820.0,89.2,26589078000.0,72846789.0
SAWUNGGALIH,KTA-PSE,EKS,SEDANG,447.0,72.8,25894011000.0,24359371.0
SAWUNGGALIH,PSE-KTA,EKS,SEDANG,447.0,71.8,25575563000.0,24059796.0
BANGUNKARTA,JG-PSE,EKS,JAUH,751.0,85.1,25286674000.0,69278559.0
KALIGUNG,SMC-TG,EKO,SEDANG,148.0,68.7,25050842000.0,26067473.0
GUMARANG,PSE-SBI,EKS,JAUH,719.0,53.9,24326591000.0,66648195.0
GUMARANG,SBI-PSE,EKS,JAUH,719.0,59.8,22969505000.0,62930151.0
SEMBRANI LUXURY,SBI-GMR,EKS,JAUH,720.0,54.6,22164427000.0,31754193.0
SEMBRANI LUXURY,GMR-SBI,EKS,JAUH,720.0,55.2,22011582000.0,31671341.0
KERTANEGARA,ML-PWT,EKS,JAUH,559.0,113.3,21680285000.0,59398041.0
DHARMAWANGSA EKSPRES,SBI-PSE,EKS,JAUH,719.0,82.4,21551281000.0,59206816.0
GUNUNGJATI,SMT-GMR,EKO,SEDANG,440.0,109.4,21528447000.0,64456428.0
GUNUNGJATI,GMR-SMT,EKO,SEDANG,440.0,107.5,21043558000.0,63193868.0
KERTANEGARA,PWT-ML,EKO,JAUH,559.0,99.8,21015082000.0,57575567.0
DHARMAWANGSA EKSPRES,PSE-SBI,EKS,JAUH,719.0,79.5,19240084000.0,52857374.0
PANGRANGO,SI-BOO,LOK EKO,DEKAT,57.0,89.3,18925537000.0,13243903.0
KA TAMBAHAN YK GMR,YK-GMR,EKS,JAUH,512.0,70.4,18576673000.0,113967319.0
ARGO DWIPANGGA LUXURY,GMR-SLO,EKS,JAUH,571.0,52.5,18352751000.0,50281510.0
PANGRANGO,BOO-SI,LOK EKO,DEKAT,57.0,86.3,18342859000.0,12836150.0
MENOREH,SMT-PSE,EKS,SEDANG,439.0,49.6,18336757000.0,27491390.0
SRIBILAH UTAMA,RAP-MDN,EKS,SEDANG,268.0,59.5,18273419000.0,16672828.0
MALIOBORO EKSPRES,ML-PWT,EKO,JAUH,559.0,79.7,18235070000.0,49959096.0
KA TAMBAHAN GMR YK,GMR-YK,EKS,JAUH,512.0,70.5,18227370000.0,112514630.0
SRIBILAH UTAMA,MDN-RAP,EKS,SEDANG,268.0,58.9,18127139000.0,16554465.0
BATAVIA,GMR-SLO,EKO,JAUH,571.0,98.3,17528857000.0,83470748.0
KAMANDAKA,CP-TG-SMT,EKO,SEDANG,305.0,176.6,17441928000.0,47786104.0
KALIGUNG,BB-SMC,EKO,SEDANG,160.0,62.0,17296447000.0,23693763.0
JOGLOSEMARKERTO,SLO-SMT-TG-PWT-SLO-SMT,EKS,JAUH,686.0,179.1,17112375000.0,46883219.0
GUMARANG,PSE-SBI,EKO,JAUH,719.0,81.3,17092580000.0,101139527.0
KAMANDAKA,PWT-TG-SMT,EKO,SEDANG,244.0,105.4,16949115000.0,46435932.0
ARGO LAWU LUXURY,SLO-GMR,EKS,JAUH,571.0,47.5,16820389000.0,46209860.0
SENJA UTAMA YK,YK-PSE,EKS,JAUH,511.0,120.5,16697521000.0,45746633.0
GUNUNGJATI,GMR-SMT,EKS,SEDANG,440.0,96.1,16650098000.0,50000294.0
BRANTAS,BL-PSE,EKS,JAUH,805.0,81.6,16523146000.0,45268893.0
CIREMAI,SMT-CKP-BD,EKO,JAUH,451.0,90.8,16449436000.0,45066948.0
PUTRI DELI,MDN-TNB,EKO,SEDANG,174.0,108.3,16387064000.0,14965355.0
GAJAYANA TAMBAHAN,GMR-ML,EKS,JAUH,905.0,123.4,16378802000.0,224367151.0
CIREMAI,BD-CKP-SMT,EKO,JAUH,451.0,92.2,16330544000.0,44741216.0
PANGANDARAN,GMR-BJR,EKO,SEDANG,325.0,112.8,16325710000.0,44727973.0
GAJAHWONG,LPN-PSE,EKS,JAUH,512.0,73.8,16221892000.0,44443540.0
BATAVIA,GMR-SLO,EKS,JAUH,571.0,82.8,16146320000.0,76887238.0
BATAVIA,SLO-GMR,EKO,JAUH,571.0,82.4,16034299000.0,76353805.0
CAKRABUANA,PWT-GMR,EKO,SEDANG,345.0,93.8,16021577000.0,48112844.0
PUTRI DELI,TNB-MDN,EKO,SEDANG,174.0,105.7,15967548000.0,14582236.0
MATARAM,PSE-SLO,EKS,JAUH,570.0,87.8,15859418000.0,43450460.0
FAJAR UTAMA SOLO,PSE-SLO,EKS,JAUH,570.0,112.1,15804936000.0,43301195.0
JOGLOSEMARKERTO,SLO-PWT-TG-SMT-SLO,EKS,JAUH,578.0,163.6,15797139000.0,43279833.0
SINDANG MARGA,KPT-LLG,EKS,SEDANG,305.0,101.7,15630033000.0,42822008.0
KUTOJAYA SELATAN,KTA-KAC,EKO,SEDANG,319.0,98.3,15483374000.0,42420203.0
FAJAR UTAMA YK,PSE-YK,EKS,JAUH,511.0,103.4,15352225000.0,42060890.0
TAWANGALUN,KTG-BG-MLK,EKO,SEDANG,314.0,137.2,15348043000.0,42049433.0
CAKRABUANA,GMR-PWT,EKO,SEDANG,345.0,91.3,15312931000.0,45847099.0
MUTIARA TIMUR,SBI-KTG,EKS,SEDANG,312.0,89.4,15209654000.0,41670285.0
TAWANGALUN,MLK-BG-KTG,EKO,SEDANG,314.0,135.5,15188654000.0,41612751.0
SINDANG MARGA,LLG-KPT,EKS,SEDANG,305.0,98.6,15129293000.0,41450118.0
FAJAR UTAMA YK,YK-PSE,EKS,JAUH,511.0,102.7,15081494000.0,41319162.0
SANCAKA UTARA,SBI-GBN-SLO-CP,EKO,JAUH,504.0,114.2,14987528000.0,50125512.0
JOGLOSEMARKERTO,PWT-TG-SMT-SLO,EKO,SEDANG,352.0,96.1,14961691000.0,40990934.0
BRANTAS,PSE-BL,EKS,JAUH,805.0,65.7,14855167000.0,40699088.0
KUTOJAYA SELATAN,KAC-KTA,EKO,SEDANG,319.0,92.6,14783360000.0,40502356.0
PARAHYANGAN,GMR-BD,EKO,SEDANG,169.0,85.3,14773576000.0,22116132.0
SENJA UTAMA SOLO,SLO-PSE,EKS,JAUH,570.0,108.7,14755559000.0,40426189.0
GUNUNGJATI,SMT-GMR,EKS,SEDANG,440.0,86.3,14584894000.0,43667347.0
PAPANDAYAN,GRT-GMR,EKO,SEDANG,247.0,133.3,14556376000.0,39880482.0
PANGANDARAN,BJR-GMR,EKO,SEDANG,325.0,94.6,14379034000.0,39394614.0
MATARAM,SLO-PSE,EKS,JAUH,570.0,93.6,14254769000.0,39054162.0
